8990 Holdings Inc.,HOUSE,Residential Building Construction
A. Brown Co. Inc.,BRN,Real Estate Developers
A. Brown Co. Inc. Pfd.,BRNP,Real Estate Developers
A. Brown Co. Inc. Pfd., BRNPB,Real Estate Developers
A. Brown Co. Inc. Pfd.,BRNPC,Real Estate Developers
A. Soriano Corp. ,ANS,Industrial Electronics
AbaCore Capital Holdings Inc.,ABA,Diversified Holding Companies
Aboitiz Equity Ventures Inc.,AEV,Electric Utilities
Aboitiz Power Corp.,AP,Renewable Energy Generation
ABS-CBN Corp.,ABS,Broadcasting
ACEN Corp.,ACEN,Electric Utilities
ACEN Corp. Pfd. A,ACENA,Electric Utilities
ACEN Corp. Pfd. B,ACENB,Electric Utilities
Acesite Philippines Hotel Corp.,ACE,Hotels
AgriNurture Inc.,ANI,Food Products
AllDay Marts Inc.,ALLDY,Mixed Retailing
AllHome Corp.,HOME,Home Goods Retail
Alliance Global Group Inc., AGI,Diversified Holding Companies
Alliance Select Foods International Inc., FOOD,Food Products
Alsons Consolidated Resources Inc.,ACR,Electric Utilities
Alternergy Holdings Corp.,ALTER,Renewable Energy Generation
Altus Property Ventures Inc., APVI,Real Estate Developers
Anchor Land Holdings Inc.,ALHI,Real Estate Developers
Anglo-Philippine Holdings Corp.,APO,Diversified Holding Companies
APC Group Inc.,APC,General Mining
Apex Mining Co. Inc.,APX,Gold
Apollo Global Capital Inc., APL,Iron/Steel
Araneta Properties Inc.,ARA,Real Estate Developers
AREIT Inc. ,AREIT,Industrial/Office REITs
Arthaland Corp. ,ALCO,Real Estate Developers
Arthaland Corp. Pfd. D,ALCPD,Real Estate Developers
Arthaland Corp. Pfd. Series F,ALCPF,Real Estate Developers
Asia United Bank Corp.,AUB,Banking
Asian Terminals Inc.,ATI,Transport/Shipping
Atlas Consolidated Mining & Development Corp., AT,General Mining
ATN Holdings Inc.,ATN,Real Estate Developers
ATN Holdings Inc. B,ATNB,Real Estate Developers
Atok-Big Wedge Co. Inc.,AB,Gold
Axelum Resources Corp. AXLM,Food Products
Ayala Corp.,AC,Diversified Holding Companies
Ayala Corp. Cl B Pfd. Series 3, ACPB3,Diversified Holding Companies
Ayala Corp. NV Perp Pfd A,ACPAR,Diversified Holding Companies
Ayala Land Inc.,ALI,Real Estate Developers
AyalaLand Logistics Holdings Corp.,ALLHC,Real Estate Developers
Balai Ni Fruitas Inc.,BALAI,Food Retail
Bank of Commerce Philippines,BNCOM,Banking
Bank of the Philippine Islands,BPI,Banking
Basic Energy Corp.,BSC,Upstream Oil & Gas
BDO Unibank Inc.,BDO,Banking
Belle Corp.,BEL,Real Estate Developers
Benguet Corp.,BC,Gold
Benguet Corp. B,BCB,Gold
Berjaya Philippines Inc.,BCOR,Gambling Industries
Bloomberry Resorts Corp.,BLOOM,Gambling Industries
Boulevard Holdings Inc.,BHI,Real Estate Developers
Bright Kindle Resources & Investments Inc.,BKR,Finance Companies
Cebu Air Inc.,CEB,Passenger Airlines
Cebu Air Inc. Pfd., CEBCP,Passenger Airlines
Cebu Landmasters Inc.,CLI,Real Estate Developers
Cebu Landmasters Inc. Pfd.,CLIA2,Real Estate Developers
Cebu Landmasters Inc. Pfd.,CLIA1,Real Estate Developers
Cemex Holdings Philippines Inc.,CHP,Building Materials/Products
Central Azucarera de Tarlac Inc.,CAT,Food Products
Centro Escolar University,CEU,Consumer Services
Century Pacific Food Inc.,CNPF,Food Products
Century Peak Holdings Corp.,CPM,Non-Ferrous Metals
Century Properties Group Inc.,CPG,Real Estate Developers
Century Properties Group Inc. Pfd.,CPGPB,Real Estate Developers
Chelsea Logistics & Infrastructure Holdings Corp.,C,Water Transport/Shipping
China Banking Corp.,CBC,Banking
Cirtek Holdings Philippines Corp.,TECH,Semiconductors
Cirtek Holdings Philippines Corp. Pfd. B,TCB2A,Semiconductors
Cirtek Holdings Philippines Corp. Pfd. C,TCB2C,Semiconductors
Cirtek Holdings Philippines Corp. Pfd. D,TCB2D,Semiconductors
Citicore Energy REIT Corp.,CREIT,Specialty REITs
Citicore Renewable Energy Corp.,CREC,Renewable Energy Generation
City & Land Developers Inc.,LAND,Real Estate Developers
Cityland Development Corp.,CDC,Real Estate Developers
Citystate Savings Bank Inc.,CSB,Banking
Coal Asia Holdings Inc.,COAL,Coal
COL Financial Group Inc.,COL,Securities
Concepcion Industrial Corp,CIC,Housewares
Concrete Aggregates Corp. B,CAB,Building Materials/Products
Converge Information & Communications Technology Solutions Inc.,CNVRG,Computer Services
Cosco Capital Inc.,COSCO,Diversified Holding Companies
Crown Asia Chemicals Corp.,CROWN,Chemicals
Crown Equities Inc.,CEI,Real Estate Developers
CTS Global Equity Group Inc.,CTS,Securities
D&L Industries Inc.,DNL,Chemicals
DDMP REIT Inc.,DDMPR,Diversified REITs
Del Monte Pacific Ltd.,DELM,Food Products
DFNN Inc.,DFNN,Software
DigiPlus Interactive Corp.,PLUS,Recreational Services
Discovery World Corp.,DWC,Hotels
DITO CME Holdings Corp.,DITO,Wired Telecommunications Services
Dizon Copper-Silver Mines Inc.,DIZ,Non-Ferrous Metals
DM Wenceslao & Associates Inc.,DMW,Construction
DMCI Holdings Inc.,DMC,Construction
Dominion Holdings Inc.,DHI,Finance Companies
DoubleDragon Corp.,DD,Real Estate Developers
DoubleDragon Properties Corp. Pfd.,DDPR,Real Estate Developers
East Coast Vulcan Corp.,ECVC,General Mining
East West Banking Corp.,EW,Banking
Easycall Communications Philippines Inc., ECP,Internet/Online
EEI Corp.,EEI,Construction
EEI Corp. Pfd. Series A,EEIPA,Construction
EEI Corp. Pfd. Series B,EEIPB,Construction
Emperador Inc.,EMI,Alcoholic Beverages/Drinks
Empire East Land Holdings Inc.,ELI,Real Estate Developers
ENEX Energy Corp.,ENEX,Upstream Oil & Gas
Euro-Med Laboratories Philippines Inc. B Shrs,EURO,Pharmaceuticals
Ever Gotesco Resources & Holdings Inc.,EVER,Real Estate Developers
F&J Prince Holdings Corp. A,FJP,Holding Companies
Far Eastern University Inc.,FEU,Consumer Services
Ferronoux Holdings Inc.,FERRO,Finance Companies
Figaro Culinary Group Inc.,FCG,Restaurants
Filinvest Development Corp.,FDC,Real Estate Developers
Filinvest Land Inc.,FLI,Real Estate Developers
Filinvest REIT Corp.,FILRT,Industrial/Office REITs
First Abacus Financial Holdings Corp.,FAF,Banking
First Gen Corp.,FGEN,Electric Utilities
First Philippine Holdings Corp.,FPH,Electric Utilities
Forum Pacific Inc.,FPI,Upstream Oil & Gas
Fruitas Holdings Inc.,FRUIT,Non-Alcoholic Beverages/Drinks
Geograce Resources Philippines Inc.,GEO,General Mining
Ginebra San Miguel Inc.,GSMI,Alcoholic Beverages/Drinks
Global Ferronickel Holdings Inc.,FNI,Non-Ferrous Metals
Global-Estate Resorts Inc.,GERI,Real Estate Developers
Globe Telecom Inc. A,GLO,Wireless Telecommunications Services
GMA Network Inc.,GMA7,Broadcasting
Golden MV Holdings Inc.,HVN,Consumer Services
Grand Plaza Hotel Corp.,GPH,Hotels
Greenergy Holdings Inc.,GREEN,Semiconductors
GT Capital Holdings Inc.,GTCAP,Diversified Holding Companies
GT Capital Holdings Inc. Pfd. Series B,GTPPB,Diversified Holding Companies
Harbor Star Shipping Services Inc.,TUGS,Water Transport/Shipping
Haus Talk Inc.,HTI,Real Estate Developers
House of Investments Inc.,HI,Diversified Holding Companies
Imperial Resources Inc.,IMP,General Mining
Integrated Micro-Electronics Inc.,IMI,Industrial Electronics
International Container Terminal Services Inc.,ICT,Water Transport/Shipping
Ionics Inc.,ION,Networking
iPeople Inc. A,IPO,Employment/Training Services
IPM Holdings Inc.,IPM,Environment/Waste Management
I-Remit Inc.,I,Banking
Italpinas Development Corp.,IDC,Real Estate Developers
Jackstones Inc.,JAS,Diversified Holding Companies
JG Summit Holdings Inc.,JGS,Food Products
Jollibee Foods Corp.,JFC,Restaurants
Jolliville Holdings Corp.,JOH,Electric Utilities
Keepers Holdings Inc.,KEEPR,Food Retail
Keppel Philippines Holdings Inc. A,KPH,Real Estate Developers
Keppel Philippines Holdings Inc. B,KPHBReal Estate Developers
Keppel Philippines Properties Inc.,KEP,Real Estate Developers
Kepwealth Property Philippines Inc.,KPPI,Real Estate Developers
LBC Express Holdings Inc.,LBC,Transportation Services
Lepanto Consolidated Mining Co.,LC,General Mining
Lepanto Consolidated Mining Co. B,LCB,General Mining
LFM Properties Corp.,LPC,Real Estate Developers
Liberty Flour Mills Inc.,LFM,Food Products
Lodestar Investment Holdings Corp.,LODE,Shell companies
Lopez Holdings Corp.,LPZ,Diversified Holding Companies
Lorenzo Shipping Corp.,LSC,Water Transport/Shipping
LT Group Inc.,LTG,Banking
Mabuhay Holdings Corp.,MHC,Diversified Holding Companies
Mabuhay Vinyl Corp.,MVC,Chemicals
Macay Holdings Inc.,MACAY,Non-Alcoholic Beverages/Drinks
Macroasia Corp.,MAC,Transportation Services
Makati Finance Corp.,MFIN,Consumer Finance
Manila Broadcasting Co.,MBC,Broadcasting
Manila Bulletin Publishing Corp.,MB,Publishing
Manila Electric Co.,MER,Electric Utilities
Manila Mining Corp. A,MA,Gold
Manila Mining Corp. B,MAB,Gold
Manila Water Co. Inc.,MWC,Water Utilities
Manulife Financial Corp.,MFC,Life Insurance
Marcventures Holdings Inc.,MARC,Non-Ferrous Metals
Max's Group Inc.,MAXS,Restaurants
Medco Holdings Inc.,MED,Diversified Holding Companies
Medilines Distributors Inc.,MEDIC,Drug Retail
Megawide Construction Corp.,MWIDE,Residential Building Construction
Megawide Construction Corp. Pfd.,MWP2B,	Residential Building Construction
MegaWorld Corp.,MEG,Real Estate Developers
MerryMart Consumer Corp.,MM,Food Retail
Metro Alliance Holdings & Equities Corp.,MAH,Chemicals
Metro Alliance Holdings & Equities Corp. B,MAHB,Chemicals
Metro Retail Stores Group Inc.,MRSGI,Mixed Retailing
Metropolitan Bank & Trust Co.,MBT,Banking
Millennium Global Holdings Inc.,MG,Diversified Holding Companies
Monde Nissin Corp.,MONDE,Food Products
MRC Allied Inc.,MRCReal Estate Developers
MREIT Inc.,MREIT,Industrial/Office REITs
National Reinsurance Corp. of the Philippines,NRCP,Reinsurance
NexGen Energy Corp.,XG,Renewable Energy Generation
Nickel Asia Corp.,NIKL,Non-Ferrous Metals
NiHAO Mineral Resources International Inc.,NI,Non-Ferrous Metals
Now Corp.,NOW,Internet/Online
OceanaGold Philippines Inc.,OGP,Non-Ferrous Metals
Omico Corp.,OM,Real Estate Developers
Oriental Peninsula Resources Group Inc.,ORE,Non-Ferrous Metals
Oriental Petroleum & Mineral Corp. B,OPMB,Upstream Oil & Gas
Oriental Petroleum & Minerals Corp. A,OPM,Upstream Oil & Gas
Pacific Online Systems Corp.,LOTO,Gambling Industries
Pacifica Holdings Inc.,PA,Upstream Oil & Gas
PAL Holdings Inc.,PAL,Passenger Airlines
Panasonic Manufacturing Philippines Corp.,PMPC,Housewares
Paxys Inc.,PAX,Diversified Business Services
PetroEnergy Resources Corp.,PERC,Upstream Oil & Gas
Petron Corp.,PCOR,Oil & Gas Products/Services
Petron Corp. NV Series 4D Pfd,PRF4D,Oil & Gas Products/Services
Petron Corp. NV Series 4E Pfd.,PRF4E,Oil & Gas Products/Services
Petron Corp. Pfd. Series 4A,PRF4A,Oil & Gas Products/Services
Petron Corp. Pfd. Series 4C,PRF4C,Oil & Gas Products/Services
PH Resorts Group Holdings Inc.,PHR,Water Utilities
Philex Mining Corp.,PX,General Mining
Philippine Bank of Communications,PBC,Banking
Philippine Business Bank,PBB,Banking
Philippine Estates Corp.,PHES,Real Estate Developers
Philippine Infradev Holdings Inc.,INFRA,Real Estate Developers
Philippine National Bank,PNB,Banking
Philippine Racing Club Inc.,PRC,Recreational Services
Philippine Realty & Holdings Corp.,RLT,Real Estate Developers
Philippine Savings Bank,PSB,Banking
Philippine Seven Corp.,SEVN,Food Retail
Philippine Stock Exchange Inc.,PSE,Securities
Philippine Trust Co.,PTC,Banking
Philodrill Corp.,OV,Upstream Oil & Gas
Philweb Corp.,WEB,Gambling Industries
Phinma Corp.,PHN,Consumer Services
PLDT Inc.,TEL,Wireless Telecommunications Services
Premiere Horizon Alliance Corp.,PHA,Diversified Holding Companies
Premiere Island Power REIT Corp.,PREIT,Industrial/Office REITs
Prime Media Holdings Inc.,PRIM,Diversified Holding Companies
Primex Corp.,PRMX,Real Estate Developers
Pryce Corp.,PPC,Chemicals
Puregold Price Club Inc.,PGOLD,Food Retail
PXP Energy Corp.,PXP,Upstream Oil & Gas
Raslag Corp.,ASLAG,Renewable Energy Generation
Repower Energy Development Corp.,REDC,Renewable Energy Generation
RFM Corp.,RFM,Food Products
Rizal Commercial Banking Corp. A,RCB,Banking
RL Commercial REIT Inc.,RCR,Industrial/Office REITs
Robinsons Land Corp.,RLC,Real Estate Developers
Robinsons Retail Holdings Inc.,RRHI,Mixed Retailing
Rockwell Land Corp.,ROCK,Real Estate Developers
Roxas & Co. Inc.,RCI,Food Products
San Miguel Corp.,SMC,Oil & Gas Products/Services
San Miguel Corp. 6.3355% Pfd.,SMC2I,Oil & Gas Products/Services
San Miguel Corp. 6.8072% Pfd.,SMC2F,Oil & Gas Products/Services
San Miguel Corp. Pfd.,SMC2J,Oil & Gas Products/Services
San Miguel Corp. Pfd.,SMC2K,Oil & Gas Products/Services
San Miguel Corp. Pfd. 2L,SMC2L,Oil & Gas Products/Services
San Miguel Corp. Pfd. 2N,SMC2N,Oil & Gas Products/Services
San Miguel Corp. Pfd. 2O,SMC2O,Oil & Gas Products/Services
San Miguel Food & Beverage Inc.,FB,Food Products
SBS Philippines Corp.,SBS,Chemicals
Security Bank Corp.,SECB,Banking
Semirara Mining & Power Corp.,SCC,Coal
Shakey's Pizza Asia Ventures Inc.,PIZZA,Restaurants
Shang Properties Inc.,SHNG,Real Estate Developers
Shell Pilipinas Corp.,SHLPH,Upstream Oil & Gas
SM Investments Corp.,SM,Mixed Retailing
SM Prime Holdings Inc.,SMPH,Mixed Retailing
Solid Group Inc.,SGI,Networking
SP New Energy Corp.,SPNEC,Renewable Energy Generation
SPC Power Corp.,SPC,Electric Utilities
SSI Group Inc.,SSI,Clothing Retail
Sta. Lucia Land Inc.,SLI,Real Estate Developers
Steniel Manufacturing Corp.,STN,Containers/Packaging
STI Education Systems Holdings Inc.,STI,Consumer Services
Sun Life Financial Inc.,SLF,Life Insurance
Suntrust Resort Holdings Inc.,SUN,Real Estate Developers
Swift Foods Inc.,SFI,Food Products
Synergy Grid & Development Philippines Inc.,SGP,Diversified Business Services
TKC Metals Corp.,T,Iron/Steel
Top Frontier Investment Holdings Inc.,TFHI,Diversified Holding Companies
Top Line Business Development Corp.,TOP,Wholesalers
Transpacific Broadband Group International Inc.,TBGI,Internet/Online
Uniholdings Inc.,UNH,Chemicals
Union Bank of the Philippines,UBP,Banking
United Paragon Mining Corp.,UPM,General Mining
Universal Robina Corp.,URC,Food Products
Upson International Corp.,UPSON,Home Goods Retail
Vantage Equities Inc.,V,Finance Companies
Victorias Milling Co. Inc.,VMC,Food Products
Vista Land & Lifescapes Inc.,VLL,Real Estate Developers
Vista Land & Lifescapes Inc. Series 2A Pfd,VLL2A,Real Estate Developers
Vista Land & Lifescapes Inc. Series 2B Pfd,VLL2B,Real Estate Developers
Vistamalls Inc.,STR,Real Estate Developers
VistaREIT Inc.,VREIT,Diversified REITs
Vitarich Corp.,VITA,Farming
Vivant Corp.,VVT,Electric Utilities
Waterfront Philippines Inc.,WPI,Hotels
Wellex Industries Inc.,WIN,Upstream Oil & Gas
Wilcon Depot Inc.,WLCON,Home Goods Retail
Xurpas Inc.,X,Software
Zeus Holdings Inc.,ZHI,Diversified Holding Companies